date,time,water_level_HOBO
7/14/2022,10:24,15.431
7/14/2022,10:32,14.561
7/14/2022,10:40,13.75
7/14/2022,10:48,12.876
7/14/2022,10:56,12.165
7/14/2022,11:04,11.576
7/14/2022,11:12,10.689
7/14/2022,11:20,10.01
7/14/2022,11:28,9.319
7/14/2022,11:36,8.639
7/14/2022,11:44,8.068
7/14/2022,11:52,7.654
7/14/2022,12:00,6.873
7/14/2022,12:08,6.15
7/14/2022,12:16,5.532
7/14/2022,12:24,4.966
7/14/2022,12:32,4.172
7/14/2022,12:40,3.509
7/14/2022,12:48,3.248
7/14/2022,12:56,2.355
7/14/2022,13:04,1.753
7/14/2022,13:12,1.178
7/14/2022,13:20,0.638
7/14/2022,13:28,0.193
7/14/2022,13:36,0.07
7/14/2022,13:44,0.056
7/14/2022,13:52,0.063
7/14/2022,14:00,0.074
7/14/2022,14:08,0.069
7/14/2022,14:16,0.07
7/14/2022,14:24,0.091
7/14/2022,14:32,0.076
7/14/2022,14:40,0.093
7/14/2022,14:48,0.086
7/14/2022,14:56,0.086
7/14/2022,15:04,0.054
7/14/2022,15:12,0.057
7/14/2022,15:20,0.042
7/14/2022,15:28,0.059
7/14/2022,15:36,0.054
7/14/2022,15:44,0.045
7/14/2022,15:52,0.688
7/14/2022,16:00,3.267
7/14/2022,16:08,5.326
7/14/2022,16:16,6.77
7/14/2022,16:24,8.173
7/14/2022,16:32,9.211
7/14/2022,16:40,10.281
7/14/2022,16:48,11.641
7/14/2022,16:56,12.83
7/14/2022,17:04,13.761
7/14/2022,17:12,14.582
7/14/2022,17:20,15.466
7/14/2022,17:28,16.243
7/14/2022,17:36,17.509
7/14/2022,17:44,18.555
7/14/2022,17:52,19.158
7/14/2022,18:00,20.046
7/14/2022,18:08,20.999
7/14/2022,18:16,21.78
7/14/2022,18:24,22.427
7/14/2022,18:32,22.988
7/14/2022,18:40,23.683
7/14/2022,18:48,24.516
7/14/2022,18:56,25.174
7/14/2022,19:04,25.645
7/14/2022,19:12,26.281
7/14/2022,19:20,26.941
7/14/2022,19:28,27.481
7/14/2022,19:36,28.072
7/14/2022,19:44,28.681
7/14/2022,19:52,29.249
7/14/2022,20:00,29.605
7/14/2022,20:08,30.06
7/14/2022,20:16,30.275
7/14/2022,20:24,30.477
7/14/2022,20:32,30.563
7/14/2022,20:40,30.606
7/14/2022,20:48,30.542
7/14/2022,20:56,30.329
7/14/2022,21:04,30.096
7/14/2022,21:12,29.743
7/14/2022,21:20,29.285
7/14/2022,21:28,28.766
7/14/2022,21:36,28.205
7/14/2022,21:44,27.506
7/14/2022,21:52,26.767
7/14/2022,22:00,26.005
7/14/2022,22:08,25.146
7/14/2022,22:16,24.267
7/14/2022,22:24,23.345
7/14/2022,22:32,22.393
7/14/2022,22:40,21.374
7/14/2022,22:48,20.348
7/14/2022,22:56,19.342
7/14/2022,23:04,18.366
7/14/2022,23:12,17.409
7/14/2022,23:20,16.485
7/14/2022,23:28,15.57
7/14/2022,23:36,14.718
7/14/2022,23:44,13.875
7/14/2022,23:52,13.022
7/15/2022,0:00,12.253
7/15/2022,0:08,11.519
7/15/2022,0:16,10.791
7/15/2022,0:24,10.149
7/15/2022,0:32,9.466
7/15/2022,0:40,8.832
7/15/2022,0:48,8.253
7/15/2022,0:56,7.673
7/15/2022,1:04,7.115
7/15/2022,1:12,6.491
7/15/2022,1:20,5.901
7/15/2022,1:28,5.292
7/15/2022,1:36,4.775
7/15/2022,1:44,4.27
7/15/2022,1:52,3.583
7/15/2022,2:00,3.034
7/15/2022,2:08,2.834
7/15/2022,2:16,2.041
7/15/2022,2:24,1.523
7/15/2022,2:32,1.359
7/15/2022,2:40,0.708
7/15/2022,2:48,0.264
7/15/2022,2:56,0.095
7/15/2022,3:04,0.101
7/15/2022,3:12,0.109
7/15/2022,3:20,0.097
7/15/2022,3:28,1.011
7/15/2022,3:36,3.538
7/15/2022,3:44,6.301
7/15/2022,3:52,8.413
7/15/2022,4:00,9.931
7/15/2022,4:08,11.344
7/15/2022,4:16,12.175
7/15/2022,4:24,13.093
7/15/2022,4:32,14.08
7/15/2022,4:40,15.113
7/15/2022,4:48,16.189
7/15/2022,4:56,17.041
7/15/2022,5:04,18.176
7/15/2022,5:12,19.102
7/15/2022,5:20,19.786
7/15/2022,5:28,20.776
7/15/2022,5:36,21.638
7/15/2022,5:44,22.481
7/15/2022,5:52,23.31
7/15/2022,6:00,24.001
7/15/2022,6:08,24.862
7/15/2022,6:16,25.618
7/15/2022,6:24,26.222
7/15/2022,6:32,26.883
7/15/2022,6:40,27.563
7/15/2022,6:48,28.194
7/15/2022,6:56,28.899
7/15/2022,7:04,29.476
7/15/2022,7:12,30.093
7/15/2022,7:20,30.688
7/15/2022,7:28,31.239
7/15/2022,7:36,31.684
7/15/2022,7:44,32.141
7/15/2022,7:52,32.44
7/15/2022,8:00,32.629
7/15/2022,8:08,32.678
7/15/2022,8:16,32.683
7/15/2022,8:24,32.554
7/15/2022,8:32,32.329
7/15/2022,8:40,32.008
7/15/2022,8:48,31.574
7/15/2022,8:56,31.064
7/15/2022,9:04,30.47
7/15/2022,9:12,29.809
7/15/2022,9:20,29.024
7/15/2022,9:28,28.259
7/15/2022,9:36,27.417
7/15/2022,9:44,26.625
7/15/2022,9:52,25.75
7/15/2022,10:00,24.796
7/15/2022,10:08,23.764
7/15/2022,10:16,22.704
7/15/2022,10:24,21.578
7/15/2022,10:32,20.484
7/15/2022,10:40,19.503
7/15/2022,10:48,18.556
7/15/2022,10:56,17.555
7/15/2022,11:04,16.61
7/15/2022,11:12,15.699
7/15/2022,11:20,14.848
7/15/2022,11:28,13.991
7/15/2022,11:36,13.147
7/15/2022,11:44,12.437
7/15/2022,11:52,11.71
7/15/2022,12:00,11.081
7/15/2022,12:08,10.409
7/15/2022,12:16,9.711
7/15/2022,12:24,8.881
7/15/2022,12:32,8.2
7/15/2022,12:40,7.601
7/15/2022,12:48,7.171
7/15/2022,12:56,6.354
7/15/2022,13:04,5.572
7/15/2022,13:12,4.782
7/15/2022,13:20,4.447
7/15/2022,13:28,3.579
7/15/2022,13:36,3.643
7/15/2022,13:44,2.276
7/15/2022,13:52,2.004
7/15/2022,14:00,1.5
7/15/2022,14:08,0.984
7/15/2022,14:16,0.561
7/15/2022,14:24,0.197
7/15/2022,14:32,0.179
7/15/2022,14:40,0.174
7/15/2022,14:48,0.144
7/15/2022,14:56,0.112
7/15/2022,15:04,0.101
7/15/2022,15:12,0.101
7/15/2022,15:20,0.081
7/15/2022,15:28,0.08
7/15/2022,15:36,0.128
7/15/2022,15:44,0.04
7/15/2022,15:52,0.042
7/15/2022,16:00,0.044
7/15/2022,16:08,0.044
7/15/2022,16:16,0.079
7/15/2022,16:24,0.091
7/15/2022,16:32,0.111
7/15/2022,16:40,2.486
7/15/2022,16:48,4.423
7/15/2022,16:56,6.344
7/15/2022,17:04,7.938
7/15/2022,17:12,8.943
7/15/2022,17:20,9.953
7/15/2022,17:28,11.116
7/15/2022,17:36,12.291
7/15/2022,17:44,13.393
7/15/2022,17:52,14.151
7/15/2022,18:00,15.1
7/15/2022,18:08,15.945
7/15/2022,18:16,17.084
7/15/2022,18:24,18.356
7/15/2022,18:32,19.019
7/15/2022,18:40,19.828
7/15/2022,18:48,20.892
7/15/2022,18:56,21.796
7/15/2022,19:04,22.489
7/15/2022,19:12,23.089
7/15/2022,19:20,23.762
7/15/2022,19:28,24.615
7/15/2022,19:36,25.215
7/15/2022,19:44,25.773
7/15/2022,19:52,26.467
7/15/2022,20:00,27.193
7/15/2022,20:08,27.741
7/15/2022,20:16,28.371
7/15/2022,20:24,29.012
7/15/2022,20:32,29.613
7/15/2022,20:40,30.129
7/15/2022,20:48,30.614
7/15/2022,20:56,31.024
7/15/2022,21:04,31.35
7/15/2022,21:12,31.562
7/15/2022,21:20,31.688
7/15/2022,21:28,31.657
7/15/2022,21:36,31.553
7/15/2022,21:44,31.376
7/15/2022,21:52,31.049
7/15/2022,22:00,30.64
7/15/2022,22:08,30.147
7/15/2022,22:16,29.61
7/15/2022,22:24,28.959
7/15/2022,22:32,28.244
7/15/2022,22:40,27.497
7/15/2022,22:48,26.69
7/15/2022,22:56,25.795
7/15/2022,23:04,24.903
7/15/2022,23:12,23.966
7/15/2022,23:20,22.928
7/15/2022,23:28,21.879
7/15/2022,23:36,20.86
7/15/2022,23:44,19.829
7/15/2022,23:52,18.851
7/16/2022,0:00,17.883
7/16/2022,0:08,16.955
7/16/2022,0:16,16.072
7/16/2022,0:24,15.134
7/16/2022,0:32,14.249
7/16/2022,0:40,13.43
7/16/2022,0:48,12.587
7/16/2022,0:56,11.842
7/16/2022,1:04,11.068
7/16/2022,1:12,10.405
7/16/2022,1:20,9.669
7/16/2022,1:28,9.348
7/16/2022,1:36,8.412
7/16/2022,1:44,8.061
7/16/2022,1:52,7.239
7/16/2022,2:00,6.976
7/16/2022,2:08,6.463
7/16/2022,2:16,5.469
7/16/2022,2:24,4.849
7/16/2022,2:32,4.334
7/16/2022,2:40,4.026
7/16/2022,2:48,3.169
7/16/2022,2:56,2.767
7/16/2022,3:04,2.151
7/16/2022,3:12,1.67
7/16/2022,3:20,1.187
7/16/2022,3:28,0.788
7/16/2022,3:36,0.344
7/16/2022,3:44,0.087
7/16/2022,3:52,0.091
7/16/2022,4:00,0.09
7/16/2022,4:08,0.092
7/16/2022,4:16,0.469
7/16/2022,4:24,2.214
7/16/2022,4:32,5.025
7/16/2022,4:40,7.485
7/16/2022,4:48,9.194
7/16/2022,4:56,10.566
7/16/2022,5:04,11.661
7/16/2022,5:12,12.558
7/16/2022,5:20,13.495
7/16/2022,5:28,14.585
7/16/2022,5:36,15.829
7/16/2022,5:44,16.65
7/16/2022,5:52,17.757
7/16/2022,6:00,18.822
7/16/2022,6:08,19.486
7/16/2022,6:16,20.351
7/16/2022,6:24,21.288
7/16/2022,6:32,22.138
7/16/2022,6:40,22.968
7/16/2022,6:48,23.609
7/16/2022,6:56,24.325
7/16/2022,7:04,25.124
7/16/2022,7:12,25.714
7/16/2022,7:20,26.375
7/16/2022,7:28,26.985
7/16/2022,7:36,27.689
7/16/2022,7:44,28.265
7/16/2022,7:52,28.905
7/16/2022,8:00,29.482
7/16/2022,8:08,30.093
7/16/2022,8:16,30.657
7/16/2022,8:24,31.194
7/16/2022,8:32,31.584
7/16/2022,8:40,31.94
7/16/2022,8:48,32.128
7/16/2022,8:56,32.245
7/16/2022,9:04,32.203
7/16/2022,9:12,32.13
7/16/2022,9:20,31.898
7/16/2022,9:28,31.605
7/16/2022,9:36,31.14
7/16/2022,9:44,30.654
7/16/2022,9:52,30.119
7/16/2022,10:00,29.54
7/16/2022,10:08,28.824
7/16/2022,10:16,28.077
7/16/2022,10:24,27.31
7/16/2022,10:32,26.438
7/16/2022,10:40,25.532
7/16/2022,10:48,24.553
7/16/2022,10:56,23.553
7/16/2022,11:04,22.454
7/16/2022,11:12,21.437
7/16/2022,11:20,20.416
7/16/2022,11:28,19.43
7/16/2022,11:36,18.47
7/16/2022,11:44,17.514
7/16/2022,11:52,16.587
7/16/2022,12:00,15.672
7/16/2022,12:08,14.817
7/16/2022,12:16,13.978
7/16/2022,12:24,13.123
7/16/2022,12:32,12.261
7/16/2022,12:40,11.467
7/16/2022,12:48,10.853
7/16/2022,12:56,10.053
7/16/2022,13:04,9.368
7/16/2022,13:12,8.653
7/16/2022,13:20,8.294
7/16/2022,13:28,7.455
7/16/2022,13:36,6.813
7/16/2022,13:44,6.138
7/16/2022,13:52,5.354
7/16/2022,14:00,4.763
7/16/2022,14:08,4.351
7/16/2022,14:16,3.673
7/16/2022,14:24,3.103
7/16/2022,14:32,2.493
7/16/2022,14:40,1.895
7/16/2022,14:48,1.099
7/16/2022,14:56,0.791
7/16/2022,15:04,0.181
7/16/2022,15:12,0.09
7/16/2022,15:20,0.099
7/16/2022,15:28,0.09
7/16/2022,15:36,0.102
7/16/2022,15:44,0.103
7/16/2022,15:52,0.104
7/16/2022,16:00,0.105
7/16/2022,16:08,0.104
7/16/2022,16:16,0.116
7/16/2022,16:24,0.105
7/16/2022,16:32,0.093
7/16/2022,16:40,0.105
7/16/2022,16:48,0.116
7/16/2022,16:56,0.116
7/16/2022,17:04,0.117
7/16/2022,17:12,0.105
7/16/2022,17:20,0.679
7/16/2022,17:28,3.31
7/16/2022,17:36,5.293
7/16/2022,17:44,6.968
7/16/2022,17:52,8.307
7/16/2022,18:00,9.326
7/16/2022,18:08,10.373
7/16/2022,18:16,11.63
7/16/2022,18:24,12.846
7/16/2022,18:32,13.719
7/16/2022,18:40,14.531
7/16/2022,18:48,15.49
7/16/2022,18:56,16.414
7/16/2022,19:04,17.689
7/16/2022,19:12,18.506
7/16/2022,19:20,19.19
7/16/2022,19:28,20.137
7/16/2022,19:36,21.077
7/16/2022,19:44,21.835
7/16/2022,19:52,22.504
7/16/2022,20:00,23.101
7/16/2022,20:08,23.826
7/16/2022,20:16,24.586
7/16/2022,20:24,25.123
7/16/2022,20:32,25.672
7/16/2022,20:40,26.367
7/16/2022,20:48,27.063
7/16/2022,20:56,27.538
7/16/2022,21:04,28.129
7/16/2022,21:12,28.743
7/16/2022,21:20,29.323
7/16/2022,21:28,29.756
7/16/2022,21:36,30.239
7/16/2022,21:44,30.584
7/16/2022,21:52,30.888
7/16/2022,22:00,31.015
7/16/2022,22:08,31.131
7/16/2022,22:16,31.081
7/16/2022,22:24,30.953
7/16/2022,22:32,30.7
7/16/2022,22:40,30.364
7/16/2022,22:48,29.911
7/16/2022,22:56,29.428
7/16/2022,23:04,28.831
7/16/2022,23:12,28.189
7/16/2022,23:20,27.484
7/16/2022,23:28,26.71
7/16/2022,23:36,25.86
7/16/2022,23:44,24.954
7/16/2022,23:52,24.034
7/17/2022,0:00,23.043
7/17/2022,0:08,22.05
7/17/2022,0:16,20.99
7/17/2022,0:24,19.983
7/17/2022,0:32,18.961
7/17/2022,0:40,17.974
7/17/2022,0:48,17.043
7/17/2022,0:56,16.128
7/17/2022,1:04,15.254
7/17/2022,1:12,14.361
7/17/2022,1:20,13.489
7/17/2022,1:28,12.728
7/17/2022,1:36,11.907
7/17/2022,1:44,11.341
7/17/2022,1:52,10.392
7/17/2022,2:00,9.722
7/17/2022,2:08,9.1
7/17/2022,2:16,8.874
7/17/2022,2:24,8.004
7/17/2022,2:32,7.571
7/17/2022,2:40,6.823
7/17/2022,2:48,6.226
7/17/2022,2:56,5.672
7/17/2022,3:04,5.026
7/17/2022,3:12,4.441
7/17/2022,3:20,3.9
7/17/2022,3:28,3.059
7/17/2022,3:36,2.763
7/17/2022,3:44,2.502
7/17/2022,3:52,2.251
7/17/2022,4:00,1.178
7/17/2022,4:08,1.001
7/17/2022,4:16,0.48
7/17/2022,4:24,0.113
7/17/2022,4:32,0.096
7/17/2022,4:40,0.075
7/17/2022,4:48,0.087
7/17/2022,4:56,0.097
7/17/2022,5:04,0.091
7/17/2022,5:12,1.386
7/17/2022,5:20,3.834
7/17/2022,5:28,6.453
7/17/2022,5:36,8.246
7/17/2022,5:44,9.525
7/17/2022,5:52,10.769
7/17/2022,6:00,11.676
7/17/2022,6:08,12.689
7/17/2022,6:16,13.733
7/17/2022,6:24,14.704
7/17/2022,6:32,15.714
7/17/2022,6:40,16.506
7/17/2022,6:48,17.664
7/17/2022,6:56,18.654
7/17/2022,7:04,19.277
7/17/2022,7:12,20.161
7/17/2022,7:20,21.097
7/17/2022,7:28,21.907
7/17/2022,7:36,22.643
7/17/2022,7:44,23.261
7/17/2022,7:52,24.007
7/17/2022,8:00,24.755
7/17/2022,8:08,25.26
7/17/2022,8:16,25.828
7/17/2022,8:24,26.436
7/17/2022,8:32,27.053
7/17/2022,8:40,27.601
7/17/2022,8:48,28.156
7/17/2022,8:56,28.745
7/17/2022,9:04,29.276
7/17/2022,9:12,29.77
7/17/2022,9:20,30.273
7/17/2022,9:28,30.598
7/17/2022,9:36,30.892
7/17/2022,9:44,31.019
7/17/2022,9:52,31.129
7/17/2022,10:00,31.025
7/17/2022,10:08,30.888
7/17/2022,10:16,30.604
7/17/2022,10:24,30.268
7/17/2022,10:32,29.815
7/17/2022,10:40,29.311
7/17/2022,10:48,28.728
7/17/2022,10:56,28.098
7/17/2022,11:04,27.383
7/17/2022,11:12,26.637
7/17/2022,11:20,25.806
7/17/2022,11:28,24.945
7/17/2022,11:36,24.042
7/17/2022,11:44,23.114
7/17/2022,11:52,22.1
7/17/2022,12:00,21.091
7/17/2022,12:08,20.049
7/17/2022,12:16,19.049
7/17/2022,12:24,18.082
7/17/2022,12:32,17.146
7/17/2022,12:40,16.238
7/17/2022,12:48,15.364
7/17/2022,12:56,14.508
7/17/2022,13:04,13.683
7/17/2022,13:12,12.867
7/17/2022,13:20,12.124
7/17/2022,13:28,11.394
7/17/2022,13:36,10.694
7/17/2022,13:44,10.026
7/17/2022,13:52,9.365
7/17/2022,14:00,8.645
7/17/2022,14:08,8.072
7/17/2022,14:16,7.477
7/17/2022,14:24,6.888
7/17/2022,14:32,6.275
7/17/2022,14:40,5.573
7/17/2022,14:48,4.918
7/17/2022,14:56,4.34
7/17/2022,15:04,3.628
7/17/2022,15:12,3.115
7/17/2022,15:20,2.444
7/17/2022,15:28,1.752
7/17/2022,15:36,1.381
7/17/2022,15:44,1.031
7/17/2022,15:52,0.404
7/17/2022,16:00,0.098
7/17/2022,16:08,0.098
7/17/2022,16:16,0.086
7/17/2022,16:24,0.113
7/17/2022,16:32,0.097
7/17/2022,16:40,0.106
7/17/2022,16:48,0.12
7/17/2022,16:56,0.101
7/17/2022,17:04,0.092
7/17/2022,17:12,0.105
7/17/2022,17:20,0.108
7/17/2022,17:28,0.118
7/17/2022,17:36,0.115
7/17/2022,17:44,0.122
7/17/2022,17:52,0.111
7/17/2022,18:00,1.952
7/17/2022,18:08,4.561
7/17/2022,18:16,6.322
7/17/2022,18:24,7.803
7/17/2022,18:32,8.902
7/17/2022,18:40,10.021
7/17/2022,18:48,11.201
7/17/2022,18:56,12.376
7/17/2022,19:04,13.403
7/17/2022,19:12,14.134
7/17/2022,19:20,14.979
7/17/2022,19:28,15.834
7/17/2022,19:36,17.006
7/17/2022,19:44,18.004
7/17/2022,19:52,18.67
7/17/2022,20:00,19.493
7/17/2022,20:08,20.493
7/17/2022,20:16,21.321
7/17/2022,20:24,22.1
7/17/2022,20:32,22.731
7/17/2022,20:40,23.382
7/17/2022,20:48,24.148
7/17/2022,20:56,24.812
7/17/2022,21:04,25.315
7/17/2022,21:12,25.935
7/17/2022,21:20,26.66
7/17/2022,21:28,27.249
7/17/2022,21:36,27.826
7/17/2022,21:44,28.438
7/17/2022,21:52,29.026
7/17/2022,22:00,29.555
7/17/2022,22:08,30.018
7/17/2022,22:16,30.482
7/17/2022,22:24,30.8
7/17/2022,22:32,31.085
7/17/2022,22:40,31.274
7/17/2022,22:48,31.348
7/17/2022,22:56,31.297
7/17/2022,23:04,31.214
7/17/2022,23:12,31.015
7/17/2022,23:20,30.669
7/17/2022,23:28,30.282
7/17/2022,23:36,29.819
7/17/2022,23:44,29.262
7/17/2022,23:52,28.663
7/18/2022,0:00,27.99
7/18/2022,0:08,27.235
7/18/2022,0:16,26.478
7/18/2022,0:24,25.615
7/18/2022,0:32,24.712
7/18/2022,0:40,23.788
7/18/2022,0:48,22.843
7/18/2022,0:56,21.845
7/18/2022,1:04,20.817
7/18/2022,1:12,19.84
7/18/2022,1:20,18.864
7/18/2022,1:28,17.914
7/18/2022,1:36,17.041
7/18/2022,1:44,16.146
7/18/2022,1:52,15.281
7/18/2022,2:00,14.468
7/18/2022,2:08,13.636
7/18/2022,2:16,12.834
7/18/2022,2:24,12.195
7/18/2022,2:32,11.489
7/18/2022,2:40,10.865
7/18/2022,2:48,10.087
7/18/2022,2:56,9.419
7/18/2022,3:04,8.855
7/18/2022,3:12,8.295
7/18/2022,3:20,7.726
7/18/2022,3:28,7.197
7/18/2022,3:36,6.647
7/18/2022,3:44,6.066
7/18/2022,3:52,5.473
7/18/2022,4:00,4.927
7/18/2022,4:08,4.499
7/18/2022,4:16,4.32
7/18/2022,4:24,3.205
7/18/2022,4:32,2.509
7/18/2022,4:40,2.16
7/18/2022,4:48,1.69
7/18/2022,4:56,1.241
7/18/2022,5:04,1.062
7/18/2022,5:12,0.683
7/18/2022,5:20,0.335
7/18/2022,5:28,0.167
7/18/2022,5:36,0.14
7/18/2022,5:44,0.161
7/18/2022,5:52,0.162
7/18/2022,6:00,1.196
7/18/2022,6:08,2.775
7/18/2022,6:16,4.704
7/18/2022,6:24,7.102
7/18/2022,6:32,8.683
7/18/2022,6:40,9.896
7/18/2022,6:48,10.961
7/18/2022,6:56,11.763
7/18/2022,7:04,12.753
7/18/2022,7:12,13.751
7/18/2022,7:20,14.687
7/18/2022,7:28,15.632
7/18/2022,7:36,16.398
7/18/2022,7:44,17.508
7/18/2022,7:52,18.321
7/18/2022,8:00,19.005
7/18/2022,8:08,19.806
7/18/2022,8:16,20.574
7/18/2022,8:24,21.292
7/18/2022,8:32,22.018
7/18/2022,8:40,22.594
7/18/2022,8:48,23.201
7/18/2022,8:56,23.899
7/18/2022,9:04,24.432
7/18/2022,9:12,24.922
7/18/2022,9:20,25.454
7/18/2022,9:28,26.029
7/18/2022,9:36,26.507
7/18/2022,9:44,26.978
7/18/2022,9:52,27.475
7/18/2022,10:00,27.931
7/18/2022,10:08,28.345
7/18/2022,10:16,28.674
7/18/2022,10:24,29.019
7/18/2022,10:32,29.234
7/18/2022,10:40,29.366
7/18/2022,10:48,29.373
7/18/2022,10:56,29.318
7/18/2022,11:04,29.12
7/18/2022,11:12,28.858
7/18/2022,11:20,28.48
7/18/2022,11:28,28.051
7/18/2022,11:36,27.553
7/18/2022,11:44,27.004
7/18/2022,11:52,26.37
7/18/2022,12:00,25.695
7/18/2022,12:08,24.966
7/18/2022,12:16,24.193
7/18/2022,12:24,23.357
7/18/2022,12:32,22.535
7/18/2022,12:40,21.648
7/18/2022,12:48,20.725
7/18/2022,12:56,19.799
7/18/2022,13:04,18.915
7/18/2022,13:12,17.996
7/18/2022,13:20,17.126
7/18/2022,13:28,16.193
7/18/2022,13:36,15.36
7/18/2022,13:44,14.549
7/18/2022,13:52,13.709
7/18/2022,14:00,12.78
7/18/2022,14:08,12.075
7/18/2022,14:16,11.44
7/18/2022,14:24,10.731
7/18/2022,14:32,10.089
7/18/2022,14:40,9.337
7/18/2022,14:48,8.888
7/18/2022,14:56,8.008
7/18/2022,15:04,7.519
7/18/2022,15:12,6.827
7/18/2022,15:20,6.181
7/18/2022,15:28,5.616
7/18/2022,15:36,5.171
7/18/2022,15:44,4.461
7/18/2022,15:52,3.83
7/18/2022,16:00,3.161
7/18/2022,16:08,3.138
7/18/2022,16:16,2.297
7/18/2022,16:24,1.239
7/18/2022,16:32,1.035
7/18/2022,16:40,0.665
7/18/2022,16:48,0.207
7/18/2022,16:56,0.224
7/18/2022,17:04,0.351
7/18/2022,17:12,0.388
7/18/2022,17:20,0.255
7/18/2022,17:28,0.191
7/18/2022,17:36,0.128
7/18/2022,17:44,0.049
7/18/2022,17:52,0.035
7/18/2022,18:00,0.053
7/18/2022,18:08,0.032
7/18/2022,18:16,0.258
7/18/2022,18:24,0.267
7/18/2022,18:32,0.737
7/18/2022,18:40,2.813
7/18/2022,18:48,5.118
7/18/2022,18:56,6.889
7/18/2022,19:04,8.159
7/18/2022,19:12,9.086
7/18/2022,19:20,10.121
7/18/2022,19:28,11.262
7/18/2022,19:36,12.293
7/18/2022,19:44,13.232
7/18/2022,19:52,13.949
7/18/2022,20:00,14.781
7/18/2022,20:08,15.59
7/18/2022,20:16,16.603
7/18/2022,20:24,17.562
7/18/2022,20:32,18.226
7/18/2022,20:40,18.961
7/18/2022,20:48,20.002
7/18/2022,20:56,20.964
7/18/2022,21:04,21.669
7/18/2022,21:12,22.175
7/18/2022,21:20,22.774
7/18/2022,21:28,23.449
7/18/2022,21:36,24.125
7/18/2022,21:44,24.64
7/18/2022,21:52,25.199
7/18/2022,22:00,25.821
7/18/2022,22:08,26.453
7/18/2022,22:16,27.123
7/18/2022,22:24,27.758
7/18/2022,22:32,28.315
7/18/2022,22:40,28.861
7/18/2022,22:48,29.323
7/18/2022,22:56,29.566
7/18/2022,23:04,29.885
7/18/2022,23:12,30.171
7/18/2022,23:20,30.382
7/18/2022,23:28,30.446
7/18/2022,23:36,30.43
7/18/2022,23:44,30.394
7/18/2022,23:52,30.26
7/19/2022,0:00,30.006
7/19/2022,0:08,29.785
7/19/2022,0:16,29.467
7/19/2022,0:24,29.049
7/19/2022,0:32,28.418
7/19/2022,0:40,27.871
7/19/2022,0:48,27.218
7/19/2022,0:56,26.461
7/19/2022,1:04,25.674
7/19/2022,1:12,24.842
7/19/2022,1:20,24.058
7/19/2022,1:28,23.173
7/19/2022,1:36,22.205
7/19/2022,1:44,21.29
7/19/2022,1:52,20.302
7/19/2022,2:00,19.327
7/19/2022,2:08,18.367
7/19/2022,2:16,17.635
7/19/2022,2:24,16.835
7/19/2022,2:32,15.969
7/19/2022,2:40,15.171
7/19/2022,2:48,14.429
7/19/2022,2:56,13.754
7/19/2022,3:04,12.924
7/19/2022,3:12,12.344
7/19/2022,3:20,11.633
7/19/2022,3:28,10.878
7/19/2022,3:36,10.302
7/19/2022,3:44,9.691
7/19/2022,3:52,9.23
7/19/2022,4:00,8.582
