date,time,water_level_NOAA,
8/30/2022,15:36,-0.19,
8/30/2022,21:18,30.29,
8/31/2022,4:00,0.55,
8/31/2022,9:30,28.85,
8/31/2022,16:06,0.88,
8/31/2022,21:42,29.91,
9/1/2022,4:36,0.45,
9/1/2022,10:12,28.3,
9/1/2022,16:36,2.86,
9/1/2022,22:18,29.81,
9/2/2022,5:18,0.86,
9/2/2022,11:00,26.75,
9/2/2022,17:06,5.11,
9/2/2022,22:54,29.49,
9/3/2022,6:06,1.73,
9/3/2022,12:00,25.98,
9/3/2022,17:54,7.63,
9/3/2022,23:42,27.83,
9/4/2022,7:12,1.65,
9/4/2022,13:30,24.95,
9/4/2022,19:12,9.48,
9/5/2022,1:00,26.33,
9/5/2022,8:36,1.18,
9/5/2022,15:06,25.19,
9/5/2022,21:00,9.22,
9/6/2022,2:36,26.14,
9/6/2022,10:06,-0.07,
9/6/2022,16:24,26.62,
9/6/2022,22:30,7.57,
9/7/2022,3:54,27.44,
9/7/2022,11:24,-1.65,
9/7/2022,17:24,28.02,
9/7/2022,23:42,4.48,
9/8/2022,5:06,28.77,
9/8/2022,12:24,-2.75,
