date,time,water_level_HOBO,water_level_NOAA
8/9/2022,9:36,4.854,5.01
8/9/2022,10:00,3.112,3.3
8/9/2022,10:24,1.723,1.53
8/9/2022,10:48,0.344,-0.01
8/9/2022,11:12,0.276,-1.3
8/9/2022,11:36,0.226,-1.93
8/9/2022,12:00,0.187,-1.17
8/9/2022,12:24,0.121,1.95
8/9/2022,12:48,0.097,5.6
8/9/2022,13:12,4.918,8.76
8/9/2022,13:36,8.341,11.85
8/9/2022,14:00,11.553,14.59
8/9/2022,14:24,13.752,16.84
8/9/2022,14:48,16.072,18.99
8/9/2022,15:12,18.395,21
8/9/2022,15:36,20.194,22.71
8/9/2022,16:00,21.929,24.25
8/9/2022,16:24,23.482,25.48
8/9/2022,16:48,24.777,26.56
8/9/2022,17:12,26.104,27.19
8/9/2022,17:36,26.998,27.49
8/9/2022,18:00,27.261,27.2
8/9/2022,18:24,26.951,26.4
8/9/2022,18:48,25.978,25.18
8/9/2022,19:12,24.352,23.56
8/9/2022,19:36,22.141,21.65
8/9/2022,20:00,19.702,19.55
8/9/2022,20:24,17.387,17.46
8/9/2022,20:48,15.087,15.48
8/9/2022,21:12,12.647,13.57
8/9/2022,21:36,10.543,11.69
8/9/2022,22:00,8.777,10.12
8/9/2022,22:24,7.354,8.41
8/9/2022,22:48,5.647,7.05
8/9/2022,23:12,4.465,5.97
8/9/2022,23:36,3.207,5.3
8/24/2022,0:00,4.635,7.7
8/24/2022,0:24,4.668,8.78
8/24/2022,0:48,6.008,10.53
8/24/2022,1:12,8.445,12.64
8/24/2022,1:36,10.975,14.79
8/24/2022,2:00,13.483,16.89
8/24/2022,2:24,15.649,18.83
8/24/2022,2:48,17.768,20.72
8/24/2022,3:12,19.706,22.08
8/24/2022,3:36,21.19,23.44
8/24/2022,4:00,22.527,24.4
8/24/2022,4:24,23.592,25.26
8/24/2022,4:48,24.556,25.76
8/24/2022,5:12,25.19,25.93
8/24/2022,5:36,25.337,25.6
8/24/2022,6:00,25.022,24.88
8/24/2022,6:24,24.125,23.84
8/24/2022,6:48,22.665,22.35
8/24/2022,7:12,20.704,20.47
8/24/2022,7:36,18.508,18.42
8/24/2022,8:00,16.188,16.36
8/24/2022,8:24,14.526,14.41
8/24/2022,8:48,12.063,12.5
8/24/2022,9:12,9.872,10.7
8/24/2022,9:36,8.213,8.93
8/24/2022,10:00,6.432,7.22
8/24/2022,10:24,4.903,5.52
8/24/2022,10:48,3.257,3.93
8/24/2022,11:12,1.859,2.35
8/24/2022,11:36,0.604,0.97
8/24/2022,12:00,0.31,-0.05
8/24/2022,12:24,0.194,-0.27
8/24/2022,12:48,0.038,1.17
8/24/2022,13:12,0.052,4.03
8/24/2022,13:36,1.701,7.18
8/24/2022,14:00,6.505,10.03
8/24/2022,14:24,9.285,12.83
8/24/2022,14:48,11.817,15.35
8/24/2022,15:12,14.246,17.4
8/24/2022,15:36,16.534,19.43
8/24/2022,16:00,18.5,21.19
8/24/2022,16:24,20.355,22.84
8/24/2022,16:48,21.988,24.21
8/24/2022,17:12,23.46,25.33
8/24/2022,17:36,24.798,26.32
8/24/2022,18:00,25.907,26.9
8/24/2022,18:24,26.492,27.06
8/24/2022,18:48,26.641,26.74
8/24/2022,19:12,26.188,26.04
8/24/2022,19:36,25.275,24.91
8/24/2022,20:00,23.741,23.4
8/24/2022,20:24,21.681,21.58
8/24/2022,20:48,19.325,19.54
8/24/2022,21:12,17.015,17.46
8/24/2022,21:36,14.738,15.54
8/24/2022,22:00,12.598,13.74
8/24/2022,22:24,10.784,12.01
8/24/2022,22:48,8.96,10.4
8/24/2022,23:12,7.476,8.9
8/24/2022,23:36,6.132,7.61
8/26/2022,0:00,6.316,7.39
8/26/2022,0:24,4.819,6.09
8/26/2022,0:48,3.678,5.05
8/26/2022,1:12,2.607,4.67
8/26/2022,1:36,1.846,5.93
8/26/2022,2:00,2.726,8.66
8/26/2022,2:24,6.867,11.7
8/26/2022,2:48,10.531,14.38
8/26/2022,3:12,13.062,16.85
8/26/2022,3:36,15.766,19.25
8/26/2022,4:00,18.222,21.21
8/26/2022,4:24,20.442,22.98
8/26/2022,4:48,22.211,24.77
8/26/2022,5:12,23.978,26.15
8/26/2022,5:36,25.449,27.27
8/26/2022,6:00,26.794,28.08
8/26/2022,6:24,27.847,28.58
8/26/2022,6:48,28.402,28.41
8/26/2022,7:12,28.197,27.64
8/26/2022,7:36,27.176,26.3
8/26/2022,8:00,25.646,24.66
8/26/2022,8:24,23.459,22.65
8/26/2022,8:48,20.935,20.47
8/26/2022,9:12,18.303,18.24
8/26/2022,9:36,15.633,16.02
8/26/2022,10:00,13.322,13.88
8/26/2022,10:24,10.891,11.83
8/26/2022,10:48,9.041,9.94
8/26/2022,11:12,7.29,8.07
8/26/2022,11:36,5.578,6.23
8/26/2022,12:00,3.822,4.31
8/26/2022,12:24,2.068,2.52
8/26/2022,12:48,0.587,0.86
8/26/2022,13:12,0.097,-0.57
8/26/2022,13:36,0.201,-1.39
8/26/2022,14:00,0.122,-0.41
8/26/2022,14:24,0.234,3.25
8/26/2022,14:48,0.99,7.1
8/26/2022,15:12,6.766,10.3
8/26/2022,15:36,10.004,13.47
8/26/2022,16:00,12.777,16.23
8/26/2022,16:24,15.301,18.53
8/26/2022,16:48,18.035,20.9
8/26/2022,17:12,20.359,22.84
8/26/2022,17:36,22.241,24.72
8/26/2022,18:00,23.976,26.18
8/26/2022,18:24,25.476,27.44
8/26/2022,18:48,26.977,28.35
8/26/2022,19:12,28.123,28.9
8/26/2022,19:36,28.714,28.86
8/26/2022,20:00,28.572,28.24
8/26/2022,20:24,27.7,27.02
8/26/2022,20:48,26.17,25.37
8/26/2022,21:12,24.091,23.4
8/26/2022,21:36,21.516,21.22
8/26/2022,22:00,18.853,19.02
8/26/2022,22:24,16.174,16.79
8/26/2022,22:48,13.753,14.71
8/26/2022,23:12,11.488,12.66
8/26/2022,23:36,9.481,10.82
8/31/2022,0:00,18.818,18.67
8/31/2022,0:24,16.105,16.32
8/31/2022,0:48,13.494,14.07
8/31/2022,1:12,11.306,11.99
8/31/2022,1:36,9.211,10.02
8/31/2022,2:00,7.421,8.06
8/31/2022,2:24,5.628,6.25
8/31/2022,2:48,4.01,4.46
8/31/2022,3:12,2.306,2.83
8/31/2022,3:36,0.935,1.42
8/31/2022,4:00,0.372,0.55
8/31/2022,4:24,0.431,1.65
8/31/2022,4:48,0.022,5.48
8/31/2022,5:12,3.853,9.03
8/31/2022,5:36,9.034,12.29
8/31/2022,6:00,11.581,15.4
8/31/2022,6:24,14.359,17.83
8/31/2022,6:48,17.052,20.11
8/31/2022,7:12,19.283,22.25
8/31/2022,7:36,21.399,24.05
8/31/2022,8:00,23.311,25.77
8/31/2022,8:24,25.012,27.03
8/31/2022,8:48,26.42,28.03
8/31/2022,9:12,27.666,28.69
8/31/2022,9:36,28.489,28.84
8/31/2022,10:00,28.615,28.28
8/31/2022,10:24,27.933,27.17
8/31/2022,10:48,26.535,25.6
8/31/2022,11:12,24.506,23.64
8/31/2022,11:36,21.981,21.41
8/31/2022,12:00,19.246,19.2
8/31/2022,12:24,16.585,16.97
8/31/2022,12:48,14.04,14.77
8/31/2022,13:12,11.769,12.57
8/31/2022,13:36,9.593,10.56
8/31/2022,14:00,7.801,8.73
8/31/2022,14:24,6.009,6.95
8/31/2022,14:48,4.453,5.07
8/31/2022,15:12,2.554,3.47
8/31/2022,15:36,1.064,2.02
8/31/2022,16:00,-0.078,1.01
8/31/2022,16:24,-0.051,1.4
8/31/2022,16:48,-0.049,4.6
8/31/2022,17:12,1.353,8.31
8/31/2022,17:36,7.613,11.59
8/31/2022,18:00,10.786,14.75
8/31/2022,18:24,13.694,17.57
8/31/2022,18:48,16.506,19.75
8/31/2022,19:12,18.844,22.03
8/31/2022,19:36,21.171,23.97
8/31/2022,20:00,23.234,25.84
8/31/2022,20:24,24.96,27.27
8/31/2022,20:48,26.569,28.52
8/31/2022,21:12,28.178,29.45
8/31/2022,21:36,29.295,29.88
8/31/2022,22:00,29.797,29.69
8/31/2022,22:24,29.518,28.82
8/31/2022,22:48,28.446,27.39
8/31/2022,23:12,26.66,25.64
8/31/2022,23:36,24.317,23.49
9/7/2022,0:00,9.296,13.68
9/7/2022,0:24,11.929,15.79
9/7/2022,0:48,14.458,17.9
9/7/2022,1:12,16.815,19.97
9/7/2022,1:36,18.855,21.68
9/7/2022,2:00,20.696,23.13
9/7/2022,2:24,22.25,24.52
9/7/2022,2:48,23.663,25.64
9/7/2022,3:12,24.988,26.6
9/7/2022,3:36,26.173,27.24
9/7/2022,4:00,26.86,27.46
9/7/2022,4:24,27.085,27.09
9/7/2022,4:48,26.642,26.29
9/7/2022,5:12,25.574,25.07
9/7/2022,5:36,23.967,23.52
9/7/2022,6:00,21.887,21.62
9/7/2022,6:24,19.626,19.52
9/7/2022,6:48,17.251,17.43
9/7/2022,7:12,14.863,15.4
9/7/2022,7:36,12.713,13.42
9/7/2022,8:00,10.634,11.51
9/7/2022,8:24,8.672,9.7
9/7/2022,8:48,7.147,7.9
9/7/2022,9:12,5.272,6.18
9/7/2022,9:36,3.74,4.44
9/7/2022,10:00,2.201,2.68
9/7/2022,10:24,0.718,1.03
9/7/2022,10:48,0.031,-0.4
9/7/2022,11:12,0.032,-1.38
9/7/2022,11:36,0.031,-1.54
9/7/2022,12:00,0.014,0.43
9/7/2022,12:24,0.018,4.03
9/7/2022,12:48,2.074,7.3
9/7/2022,13:12,6.863,10.28
9/7/2022,13:36,9.885,13.23
9/7/2022,14:00,12.366,15.71
9/7/2022,14:24,14.953,17.88
9/7/2022,14:48,17.237,20.12
9/7/2022,15:12,19.377,21.94
9/7/2022,15:36,21.331,23.7
9/7/2022,16:00,23.063,25.16
9/7/2022,16:24,24.512,26.39
9/7/2022,16:48,25.949,27.34
9/7/2022,17:12,27.057,27.91
9/7/2022,17:36,27.644,28.01
9/7/2022,18:00,27.797,27.43
9/7/2022,18:24,27.169,26.5
9/7/2022,18:48,25.993,25.11
9/7/2022,19:12,24.167,23.34
9/7/2022,19:36,21.686,21.33
9/7/2022,20:00,19.326,19.17
9/7/2022,20:24,16.721,17.06
9/7/2022,20:48,14.249,15
9/7/2022,21:12,12.079,13
9/7/2022,21:36,9.97,11.22
9/7/2022,22:00,8.357,9.49
9/7/2022,22:24,6.962,7.95
9/7/2022,22:48,5.139,6.49
9/7/2022,23:12,3.772,5.31
9/7/2022,23:36,2.653,4.56
9/8/2022,0:00,1.774,4.93
9/8/2022,0:24,1.451,7.27
9/8/2022,0:48,4.259,10.34
9/8/2022,1:12,9.031,13.18
9/8/2022,1:36,11.624,15.8
9/8/2022,2:00,14.536,18.2
9/8/2022,2:24,17.137,20.32
9/8/2022,2:48,19.334,22.22
9/8/2022,3:12,21.335,24.04
9/8/2022,3:36,23.225,25.6
9/8/2022,4:00,24.792,26.88
9/8/2022,4:24,26.256,27.86
9/8/2022,4:48,27.593,28.57
9/8/2022,5:12,28.365,28.79
9/8/2022,5:36,28.58,28.26
9/8/2022,6:00,28.01,27.22
9/8/2022,6:24,26.661,25.79
9/8/2022,6:48,24.681,23.94
9/8/2022,7:12,22.205,21.69
9/8/2022,7:36,19.696,19.4
9/8/2022,8:00,17.034,17.16
9/8/2022,8:24,14.448,15.02
9/8/2022,8:48,12.087,12.86
9/8/2022,9:12,9.928,10.93
9/8/2022,9:36,8.125,8.87
9/8/2022,10:00,6.164,6.91
9/8/2022,10:24,4.35,5.04
9/8/2022,10:48,2.633,3.11
9/8/2022,11:12,0.935,1.22
9/8/2022,11:36,0.057,-0.5
9/8/2022,12:00,0.003,-1.93
9/8/2022,12:24,0.001,-2.73
9/8/2022,12:48,-0.004,-1.48
9/8/2022,13:12,0.081,2.69
9/8/2022,13:36,0.064,6.68
9/8/2022,14:00,0.056,10.07
9/8/2022,14:24,-0.017,13.46
9/8/2022,14:48,-0.283,16.33
9/8/2022,15:12,-0.206,18.75
9/8/2022,15:36,-0.717,21.37
9/8/2022,16:00,-0.592,23.4
9/8/2022,16:24,-0.509,25.25
9/8/2022,16:48,-0.547,26.87
9/8/2022,17:12,-0.975,28.26
9/8/2022,17:36,-1.314,29.37
9/8/2022,18:00,-1.21,30.12
9/8/2022,18:24,-1.037,30.19
9/8/2022,18:48,-0.965,29.63
9/8/2022,19:12,-0.787,28.34
9/8/2022,19:36,-0.679,26.68
9/8/2022,20:00,-0.648,24.68
9/8/2022,20:24,-0.603,22.42
9/8/2022,20:48,-0.601,20.12
9/8/2022,21:12,-0.611,17.83
9/8/2022,21:36,-0.61,15.6
9/8/2022,22:00,-0.677,13.55
9/8/2022,22:24,-0.665,11.57
9/8/2022,22:48,-0.699,9.75
9/8/2022,23:12,-0.655,8.04
9/8/2022,23:36,-0.612,6.45
